Febre de Chikungunya - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Todos os casos por Município de notificação e Ano notificação
Período:2017-2026
"Município de notificação";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"260005 ABREU E LIMA";21;-;36;37;131;1;-;4;2;-;232
"260010 AFOGADOS DA INGAZEIRA";23;11;7;-;8;37;4;6;1;-;97
"260020 AFRANIO";-;1;2;14;3;185;1;18;2;-;226
"260030 AGRESTINA";-;-;2;2;1;28;4;25;2;2;66
"260040 AGUA PRETA";1;3;-;-;23;2;1;2;2;-;34
"260050 AGUAS BELAS";9;9;9;4;-;2;2;-;-;-;35
"260060 ALAGOINHA";-;-;1;-;1;2;-;8;23;6;41
"260070 ALIANCA";1;-;-;-;1;3;16;142;9;5;177
"260080 ALTINHO";7;1;3;6;1;19;2;2;2;-;43
"260090 AMARAJI";1;25;6;94;699;95;11;77;1;-;1009
"260100 ANGELIM";1;-;2;-;-;8;-;-;-;-;11
"260105 ARACOIABA";-;-;2;-;62;28;16;4;-;-;112
"260110 ARARIPINA";8;6;18;71;9;332;89;327;60;4;924
"260120 ARCOVERDE";1;1;14;34;79;543;132;8;2;-;814
"260130 BARRA DE GUABIRABA";4;2;7;1;6;14;2;36;12;-;84
"260140 BARREIROS";-;-;4;-;667;94;9;14;40;4;832
"260150 BELEM DE MARIA";-;-;-;-;-;-;-;7;-;-;7
"260160 BELEM DO SAO FRANCISCO";2;1;34;2;2;516;11;178;10;-;756
"260170 BELO JARDIM";4;-;-;-;7;1;-;-;-;-;12
"260180 BETANIA";2;-;62;3;7;38;3;-;-;-;115
"260190 BEZERROS";14;9;1;7;4;103;6;91;17;-;252
"260200 BODOCO";12;8;14;15;-;715;-;1;3;-;768
"260210 BOM CONSELHO";9;1;7;-;1;-;1;3;6;-;28
"260220 BOM JARDIM";-;1;1;2;92;35;7;7;5;-;150
"260230 BONITO";4;9;2;3;22;22;4;8;3;1;78
"260240 BREJAO";-;-;-;-;-;1;-;-;-;-;1
"260250 BREJINHO";-;-;-;-;7;2;1;1;1;-;12
"260260 BREJO DA MADRE DE DEUS";4;-;2;1;-;186;33;26;2;-;254
"260270 BUENOS AIRES";1;-;-;-;17;4;-;-;-;-;22
"260280 BUIQUE";22;69;38;7;14;193;355;51;39;-;788
"260290 CABO DE SANTO AGOSTINHO";157;372;630;837;2009;279;188;398;228;12;5110
"260300 CABROBO";-;1;42;20;54;161;6;65;11;3;363
"260310 CACHOEIRINHA";3;1;-;1;3;12;2;15;1;-;38
"260320 CAETES";22;10;-;4;-;-;1;-;-;-;37
"260330 CALCADO";5;5;11;-;-;1;-;3;1;-;26
"260340 CALUMBI";1;1;2;-;1;18;1;1;-;1;26
"260345 CAMARAGIBE";35;81;28;193;996;24;26;65;43;1;1492
"260350 CAMOCIM DE SAO FELIX";4;-;-;-;1;7;3;3;2;-;20
"260360 CAMUTANGA";-;1;2;-;6;8;2;53;7;3;82
"260370 CANHOTINHO";3;4;-;4;66;210;1;19;2;-;309
"260380 CAPOEIRAS";-;1;-;-;-;1;-;-;-;-;2
"260390 CARNAIBA";-;1;1;-;-;602;4;4;1;-;613
"260392 CARNAUBEIRA DA PENHA";-;-;14;8;3;141;4;5;-;-;175
"260400 CARPINA";17;9;16;-;326;112;5;3;-;-;488
"260410 CARUARU";409;61;91;101;389;4157;370;1296;224;48;7146
"260415 CASINHAS";7;-;-;5;-;1;-;2;35;6;56
"260420 CATENDE";-;1;9;-;10;4;-;16;-;-;40
"260430 CEDRO";1;3;5;1;-;1002;31;20;10;-;1073
"260440 CHA DE ALEGRIA";-;1;1;-;42;-;2;79;1;-;126
"260450 CHA GRANDE";1;-;-;-;3;45;7;5;9;-;70
"260460 CONDADO";-;-;-;-;-;3;-;188;20;6;217
"260470 CORRENTES";-;-;-;-;-;-;-;-;2;1;3
"260480 CORTES";-;3;2;-;-;11;-;-;-;-;16
"260490 CUMARU";-;-;-;-;2;3;-;3;-;-;8
"260500 CUPIRA";-;2;2;20;57;89;72;14;34;1;291
"260510 CUSTODIA";2;23;71;187;56;222;150;25;34;-;770
"260515 DORMENTES";4;1;3;4;24;1125;50;21;17;2;1251
"260520 ESCADA";2;16;1;4;333;5;1;-;-;-;362
"260530 EXU";8;4;2;117;57;197;14;37;11;-;447
"260540 FEIRA NOVA";-;-;8;4;53;21;-;3;4;-;93
"260545 FERNANDO DE NORONHA";1;13;43;1;374;126;43;16;1;-;618
"260550 FERREIROS";-;2;-;-;5;42;7;71;10;-;137
"260560 FLORES";-;-;-;-;1;12;-;4;1;-;18
"260570 FLORESTA";3;9;5;-;6;168;6;10;2;-;209
"260580 FREI MIGUELINHO";-;-;-;-;15;1;-;3;2;-;21
"260590 GAMELEIRA";-;-;-;-;212;64;49;446;48;2;821
"260600 GARANHUNS";57;37;54;69;20;52;43;308;31;1;672
"260610 GLORIA DO GOITA";-;-;1;-;12;10;-;1;-;-;24
"260620 GOIANA";268;51;28;8;710;121;75;735;193;55;2244
"260630 GRANITO";1;-;1;-;-;245;61;39;10;1;358
"260640 GRAVATA";7;8;-;54;701;1630;411;516;213;28;3568
"260650 IATI";2;-;-;6;2;-;-;3;-;-;13
"260660 IBIMIRIM";2;12;137;21;6;42;2;-;-;-;222
"260670 IBIRAJUBA";2;-;-;2;-;1;-;-;-;-;5
"260680 IGARASSU";71;26;55;43;225;54;33;48;26;-;581
"260690 IGUARACY";-;2;3;2;1;40;5;3;1;-;57
"260700 INAJA";1;-;4;-;6;73;14;10;2;-;110
"260710 INGAZEIRA";1;2;3;-;-;113;1;-;-;-;120
"260720 IPOJUCA";37;294;2597;777;1896;647;229;518;757;85;7837
"260730 IPUBI";-;-;-;10;-;37;9;3;1;1;61
"260740 ITACURUBA";1;-;12;1;1;58;18;22;2;-;115
"260750 ITAIBA";11;1;-;1;-;-;3;-;1;-;17
"260760 ILHA DE ITAMARACA";2;-;1;-;347;34;23;27;106;-;540
"260765 ITAMBE";1;-;1;-;2;4;-;1;25;3;37
"260770 ITAPETIM";1;-;8;-;1;8;1;1;1;-;21
"260775 ITAPISSUMA";3;-;11;-;7;1;4;1;-;-;27
"260780 ITAQUITINGA";1;-;-;1;14;1;106;321;15;1;460
"260790 JABOATAO DOS GUARARAPES";233;61;134;353;1085;563;151;104;254;51;2989
"260795 JAQUEIRA";16;1;1;-;1;66;-;-;-;-;85
"260800 JATAUBA";4;-;2;-;44;64;79;51;19;4;267
"260805 JATOBA";-;-;1;-;3;29;-;15;1;-;49
"260810 JOAO ALFREDO";-;1;6;106;104;19;-;15;3;1;255
"260820 JOAQUIM NABUCO";-;-;-;-;2;1;-;15;-;-;18
"260825 JUCATI";-;2;2;2;-;15;1;8;-;-;30
"260830 JUPI";-;1;-;1;2;-;-;1;-;-;5
"260840 JUREMA";1;-;-;-;4;43;7;16;3;1;75
"260845 LAGOA DO CARRO";4;-;-;-;220;4;2;-;4;-;234
"260850 LAGOA DE ITAENGA";2;-;-;-;18;-;-;-;2;1;23
"260860 LAGOA DO OURO";5;1;5;3;-;15;2;22;1;1;55
"260870 LAGOA DOS GATOS";-;-;-;-;5;1;-;-;-;-;6
"260875 LAGOA GRANDE";2;-;3;107;-;212;13;41;11;-;389
"260880 LAJEDO";14;4;11;8;2;236;6;5;5;-;291
"260890 LIMOEIRO";22;27;12;9;208;51;41;88;23;4;485
"260900 MACAPARANA";5;5;11;1;21;37;56;94;20;10;260
"260910 MACHADOS";2;1;-;9;1;147;-;22;8;-;190
"260915 MANARI";-;-;2;6;26;11;7;3;2;-;57
"260920 MARAIAL";-;-;-;1;-;-;1;2;2;-;6
"260930 MIRANDIBA";-;7;12;9;65;585;16;133;4;1;832
"260940 MORENO";7;-;5;122;156;96;15;185;2;-;588
"260950 NAZARE DA MATA";-;-;15;-;19;441;3;6;13;6;503
"260960 OLINDA";127;72;66;226;307;32;86;41;52;-;1009
"260970 OROBO";-;39;27;4;121;111;1;6;3;-;312
"260980 OROCO";1;2;4;2;2;27;15;5;2;-;60
"260990 OURICURI";9;-;-;1;3;185;22;23;2;2;247
"261000 PALMARES";58;119;643;76;66;51;10;63;16;-;1102
"261020 PANELAS";1;-;1;7;12;6;-;8;-;-;35
"261030 PARANATAMA";1;2;4;-;-;-;-;-;-;-;7
"261040 PARNAMIRIM";-;4;1;5;6;320;18;199;5;1;559
"261050 PASSIRA";27;68;13;42;101;12;1;30;17;8;319
"261060 PAUDALHO";49;36;20;18;1459;240;21;25;16;-;1884
"261070 PAULISTA";54;13;95;202;1317;855;911;1232;745;2;5426
"261080 PEDRA";33;96;59;38;10;23;3;15;6;-;283
"261090 PESQUEIRA";5;10;2;3;-;8;-;9;6;-;43
"261100 PETROLANDIA";4;7;2;3;9;2;1;3;1;-;32
"261110 PETROLINA";63;37;340;499;153;3395;141;311;90;7;5036
"261120 POCAO";2;-;4;-;-;2;-;-;1;-;9
"261130 POMBOS";-;-;-;-;-;1;-;-;3;-;4
"261140 PRIMAVERA";2;-;-;3;87;1;-;-;-;-;93
"261150 QUIPAPA";3;3;17;153;-;602;68;236;139;24;1245
"261153 QUIXABA";-;-;1;-;-;62;2;1;-;-;66
"261160 RECIFE";1758;1098;1912;3288;16868;2542;2034;3132;2451;309;35392
"261170 RIACHO DAS ALMAS";-;2;-;-;5;37;11;19;-;-;74
"261180 RIBEIRAO";8;2;3;1;20;1;-;-;-;-;35
"261190 RIO FORMOSO";3;3;1;11;115;25;5;250;197;-;610
"261200 SAIRE";-;-;-;1;3;2;-;-;2;-;8
"261210 SALGADINHO";-;-;-;3;6;-;-;3;-;-;12
"261220 SALGUEIRO";37;138;141;46;10;3828;52;434;38;5;4729
"261230 SALOA";1;1;-;-;-;-;-;-;-;-;2
"261240 SANHARO";32;2;2;1;5;33;11;15;3;-;104
"261245 SANTA CRUZ";1;3;2;2;1;296;6;11;2;3;327
"261247 SANTA CRUZ DA BAIXA VERDE";-;-;-;-;-;24;1;-;-;-;25
"261250 SANTA CRUZ DO CAPIBARIBE";6;104;245;245;531;697;313;164;23;-;2328
"261255 SANTA FILOMENA";3;-;1;-;-;179;5;9;-;-;197
"261260 SANTA MARIA DA BOA VISTA";-;4;6;2;-;99;7;6;1;1;126
"261270 SANTA MARIA DO CAMBUCA";18;5;7;3;3;2;-;-;-;-;38
"261280 SANTA TEREZINHA";-;-;-;-;-;1;-;-;-;-;1
"261290 SAO BENEDITO DO SUL";-;-;3;1;5;63;-;26;2;-;100
"261300 SAO BENTO DO UNA";1268;191;16;1;8;24;9;31;93;3;1644
"261310 SAO CAITANO";3;2;-;1;-;21;8;87;60;4;186
"261320 SAO JOAO";113;7;13;15;-;13;9;82;2;-;254
"261330 SAO JOAQUIM DO MONTE";11;8;88;2;6;6;2;7;7;-;137
"261340 SAO JOSE DA COROA GRANDE";1;1;65;3;61;69;2;16;4;2;224
"261350 SAO JOSE DO BELMONTE";10;5;2;-;10;213;28;6;7;-;281
"261360 SAO JOSE DO EGITO";-;-;-;3;1;10;1;-;1;-;16
"261370 SAO LOURENCO DA MATA";1;44;49;39;23;6;5;28;94;-;289
"261380 SAO VICENTE FERRER";3;8;41;2;546;210;89;320;86;11;1316
"261390 SERRA TALHADA";9;9;12;5;12;393;22;19;13;-;494
"261400 SERRITA";1;2;4;3;4;699;11;156;200;22;1102
"261410 SERTANIA";20;12;145;25;7;21;4;6;15;-;255
"261420 SIRINHAEM";4;-;-;3;203;8;1;36;12;4;271
"261430 MOREILANDIA";1;-;-;-;-;215;15;4;-;-;235
"261440 SOLIDAO";3;-;4;-;-;3;2;-;-;3;15
"261450 SURUBIM";6;1;1;-;-;-;-;-;-;-;8
"261460 TABIRA";-;-;8;-;2;3;3;4;-;-;20
"261470 TACAIMBO";3;1;1;-;1;-;6;-;-;-;12
"261480 TACARATU";1;1;2;-;-;-;1;5;-;-;10
"261485 TAMANDARE";-;-;3;-;81;19;1;-;-;-;104
"261500 TAQUARITINGA DO NORTE";-;1;-;1;2;1;-;-;1;-;6
"261510 TEREZINHA";-;1;-;-;-;2;2;1;4;1;11
"261520 TERRA NOVA";-;3;197;34;3;273;60;277;5;1;853
"261530 TIMBAUBA";37;88;163;8;384;496;111;669;45;6;2007
"261540 TORITAMA";3;-;1;-;-;-;-;2;-;-;6
"261550 TRACUNHAEM";-;-;-;-;9;40;13;-;-;-;62
"261560 TRINDADE";9;3;13;2;2;121;12;2;8;-;172
"261570 TRIUNFO";4;-;-;1;2;42;-;2;1;-;52
"261580 TUPANATINGA";3;1;4;16;8;5;7;6;2;-;52
"261590 TUPARETAMA";-;-;-;-;1;4;1;-;-;-;6
"261600 VENTUROSA";1;2;12;-;5;3;2;-;1;-;26
"261610 VERDEJANTE";3;4;9;3;1;726;5;15;3;1;770
"261618 VERTENTE DO LERIO";-;-;-;1;2;-;2;-;1;-;6
"261620 VERTENTES";14;-;-;-;-;2;4;-;12;2;34
"261630 VICENCIA";-;1;3;2;313;31;-;2;1;-;353
"261640 VITORIA DE SANTO ANTAO";17;53;28;22;603;89;36;82;51;2;983
"261650 XEXEU";2;-;16;2;8;1;-;2;-;-;31
"Total";5479;3646;8923;8626;36438;35423;7412;15465;7318;787;129517
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 As bases de dados de chikungunya aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo
 CGARB (Coordenação Geral de Vigilância de Arboviroses - CGARB) em sua série histórica, que para tal, realiza análise ano a ano, com a base congelada para cada ano analisado.
 A partir de 2020 o estado do Espírito Santo passou a utilizar o sistema e-SUS Vigilância em Saúde. Portanto, para os casos de Arboviroses urbanas do Espírito Santo foram
 considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiológica, em cada período pode apresentar notificações com data de notificação
 do ano anterior (semana epidemiológica 52 ou 53) e posterior (semana epidemiológica 01).
 Para cálculo da incidência, recomenda-se utilizar locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 18/07/2023 às 03:00 horas, incluídos os dados do ES em 09/08/2023.
 Dados de 2023 atualizados em 04/06/2024 às 11:30 horas, incluídos os dados do ES em 04/06/2024.
 Dados de 2024 atualizados em 28/07/2025 às 03:00 horas, incluídos os dados do ES em 28/07/2025 às 12:00 horas.
 Dados de 2025 atualizados em 02/03/2026 às 18:00 horas, sujeitos à revisão e incluídos os dados do ES em 02/03/2026.
