DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos Prováveis por Município de notificação e Ano epidem. notificação
Período:2014-2026
"Município de notificação";"Em Branco/ign";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"260005 ABREU E LIMA";-;38;97;34;4;10;238;27;11;-;-;13;3;-;475
"260010 AFOGADOS DA INGAZEIRA";-;69;1168;753;37;483;908;232;140;104;38;219;20;19;4190
"260020 AFRANIO";-;95;75;3;1;1;53;522;5;129;39;32;8;2;965
"260030 AGRESTINA";-;14;136;228;2;2;15;14;1;14;2;7;13;1;449
"260040 AGUA PRETA";-;47;5;9;1;7;1;8;75;5;1;4;2;-;165
"260050 AGUAS BELAS";-;7;997;60;8;2;16;21;-;12;12;34;2;5;1176
"260060 ALAGOINHA";-;1;459;531;-;1;6;1;-;7;12;8;15;14;1055
"260070 ALIANCA";-;-;349;93;-;-;-;-;-;31;20;165;4;1;663
"260080 ALTINHO";-;33;210;196;95;3;3;43;14;117;8;140;15;-;877
"260090 AMARAJI";-;1;95;53;-;40;11;35;242;82;2;52;13;5;631
"260100 ANGELIM";-;2;4;26;46;-;29;7;-;17;-;17;-;-;148
"260105 ARACOIABA";-;2;124;321;-;-;28;-;800;314;202;486;157;5;2439
"260110 ARARIPINA";-;8;49;54;1;2;10;108;6;17;12;130;1;-;398
"260120 ARCOVERDE";-;27;1668;48;10;56;242;71;16;84;40;110;102;13;2487
"260130 BARRA DE GUABIRABA";-;-;35;20;15;30;22;10;40;115;6;247;30;6;576
"260140 BARREIROS";-;5;322;206;6;14;31;5;247;81;5;22;57;8;1009
"260150 BELEM DE MARIA";-;2;2;1;-;-;-;-;-;2;-;32;-;-;39
"260160 BELEM DO SAO FRANCISCO";-;9;121;57;-;2;125;70;4;18;4;85;1;-;496
"260170 BELO JARDIM";-;16;3169;1360;539;163;251;102;55;10;5;-;2;-;5672
"260180 BETANIA";-;2;14;16;-;2;24;1;4;14;16;5;2;-;100
"260190 BEZERROS";-;37;454;583;13;74;6;3;3;5;4;14;4;-;1200
"260200 BODOCO";-;6;17;13;3;6;5;25;-;1;12;14;11;45;158
"260210 BOM CONSELHO";-;16;344;525;46;1;170;1;10;7;10;20;12;-;1162
"260220 BOM JARDIM";-;12;395;58;1;93;2;7;271;48;5;92;174;-;1158
"260230 BONITO";-;30;57;7;10;43;17;35;28;23;6;163;71;2;492
"260240 BREJAO";-;-;-;-;-;-;89;1;1;127;84;40;2;1;345
"260250 BREJINHO";-;9;43;7;1;1;24;11;14;21;12;12;-;1;156
