PCE - Programa de Controle da Esquistossomose - Pernambuco
% Positividade por Município e Ano
Período:2001-2023
"Município";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"Total"
"260005 ABREU E LIMA";...;...;...;...;...;...;...;1,12;0,12;0,58;1,08;0,17;0,33;0,11;0,06;0,08;-;-;...;...;...;...;...;0,40
"260030 AGRESTINA";...;...;...;...;...;...;...;...;...;...;...;...;...;0,29;1,21;3,02;0,53;0,56;0,18;-;0,15;0,05;...;0,51
"260040 AGUA PRETA";...;...;...;13,44;7,18;10,43;10,83;16,47;19,28;13,45;12,45;13,47;22,40;6,39;8,74;4,38;4,17;6,46;4,56;2,11;6,74;1,17;3,31;9,54
"260070 ALIANCA";25,50;9,81;19,50;26,70;20,19;25,58;19,64;21,75;13,83;18,96;10,85;6,22;8,90;8,11;6,86;5,59;3,82;3,70;3,27;2,10;1,40;1,09;...;12,62
"260080 ALTINHO";...;...;...;...;...;...;...;...;...;...;...;...;...;2,08;2,82;1,88;3,52;0,40;0,41;...;2,65;...;...;1,85
"260090 AMARAJI";...;100,00;...;12,45;21,53;26,37;...;...;12,16;5,37;3,84;5,18;2,60;3,89;5,68;2,11;2,95;2,70;2,27;2,04;...;8,57;...;6,80
"260105 ARACOIABA";...;...;...;...;...;32,12;31,26;28,19;23,83;17,14;12,96;0,86;11,76;6,49;6,07;3,42;6,07;3,89;4,12;6,45;-;0,45;...;15,56
"260130 BARRA DE GUABIRABA";...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,64;6,62;2,58;3,55;1,51;1,34;...;-;...;2,75
"260140 BARREIROS";...;...;19,81;4,41;7,14;10,21;11,07;4,71;23,80;...;100,00;...;32,73;14,13;11,11;...;5,66;1,07;...;...;...;...;...;11,36
"260150 BELEM DE MARIA";...;14,41;12,11;11,27;7,08;19,06;24,19;7,75;11,83;5,58;10,93;...;1,75;3,41;2,16;1,70;2,92;7,44;4,06;4,07;5,13;2,47;...;8,59
"260170 BELO JARDIM";...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;0,10;-;-;-;-;0,17;-;...;0,03
"260190 BEZERROS";...;...;...;...;...;...;...;...;...;...;...;...;...;0,61;0,71;0,41;0,38;0,44;0,57;...;3,28;-;...;0,49
"260210 BOM CONSELHO";...;...;...;...;...;...;...;...;...;...;...;...;...;3,11;2,19;2,44;2,27;2,18;1,08;0,68;6,09;3,50;...;2,53
"260220 BOM JARDIM";...;...;...;...;11,39;10,31;7,69;6,28;6,33;6,59;5,44;2,68;1,61;1,63;0,75;0,38;0,44;0,28;0,18;-;0,10;0,73;...;3,54
"260230 BONITO";...;...;...;...;...;...;...;...;...;...;...;...;...;3,00;1,25;1,77;2,45;0,69;0,97;...;...;-;...;1,71
"260240 BREJAO";...;...;...;...;...;...;...;...;...;...;...;...;...;2,26;1,61;0,43;0,14;0,04;0,11;-;-;0,28;...;0,65
"260260 BREJO DA MADRE DE DEUS";...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,62;-;-;-;-;-;0,15;-;...;0,06
"260270 BUENOS AIRES";...;...;...;...;...;...;...;...;...;...;...;...;...;2,86;5,11;6,93;1,16;1,34;...;...;...;4,57;...;4,12
"260290 CABO DE SANTO AGOSTINHO";...;...;...;...;...;...;13,78;10,80;8,50;8,34;10,23;5,99;3,44;4,06;2,86;4,56;3,75;5,52;3,34;2,54;6,47;9,13;...;7,20
