REGISTRO DE EVENTOS EM SAÚDE PÚBLICA (RESP-Microcefalia) - PE
Frequência por Município de notificação e Ano da notificação
Período:2015-2024
"Município de notificação";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"260005 ABREU E LIMA";11;8;1;1;-;-;-;-;-;-;21
"260010 AFOGADOS DA INGAZEIRA";16;20;10;2;-;1;-;-;-;-;49
"260020 AFRANIO";-;1;-;-;-;2;-;-;-;-;3
"260030 AGRESTINA";5;1;-;-;-;-;-;-;-;-;6
"260040 AGUA PRETA";2;-;-;-;-;-;-;-;-;-;2
"260050 AGUAS BELAS";4;6;1;1;1;-;-;-;-;-;13
"260060 ALAGOINHA";-;1;-;-;-;-;-;-;-;-;1
"260070 ALIANCA";5;4;-;-;-;-;-;-;-;-;9
"260080 ALTINHO";-;1;-;-;-;-;-;-;-;-;1
"260090 AMARAJI";-;2;-;-;-;-;-;-;-;-;2
"260100 ANGELIM";1;2;-;-;-;-;-;-;-;-;3
"260105 ARACOIABA";1;5;-;-;-;-;-;-;-;-;6
"260110 ARARIPINA";9;5;-;-;3;-;5;2;-;-;24
"260120 ARCOVERDE";8;19;1;2;1;6;-;-;-;-;37
"260140 BARREIROS";3;2;-;-;-;-;-;-;-;-;5
"260150 BELEM DE MARIA";2;-;-;-;-;-;-;-;-;-;2
"260160 BELEM DO SAO FRANCISCO";-;3;-;-;1;-;-;-;-;-;4
"260170 BELO JARDIM";10;7;-;2;-;-;-;-;-;-;19
"260180 BETANIA";1;-;-;-;-;-;-;-;1;-;2
"260190 BEZERROS";3;4;1;-;-;-;1;-;-;-;9
"260200 BODOCO";7;1;-;1;1;-;1;-;-;-;11
"260210 BOM CONSELHO";15;2;-;-;-;-;-;-;-;-;17
"260220 BOM JARDIM";1;2;-;-;-;-;-;-;-;-;3
"260230 BONITO";-;5;-;-;-;-;1;-;-;-;6
"260240 BREJAO";-;3;-;-;-;-;-;-;-;-;3
"260250 BREJINHO";3;-;1;-;-;-;-;-;-;-;4
"260260 BREJO DA MADRE DE DEUS";3;7;1;-;-;-;-;-;-;-;11
"260270 BUENOS AIRES";1;-;-;-;-;-;-;-;-;-;1
"260280 BUIQUE";7;21;-;-;1;-;-;-;-;-;29
"260290 CABO DE SANTO AGOSTINHO";23;14;2;-;-;-;-;-;-;-;39
"260300 CABROBO";1;2;-;-;1;-;-;-;-;-;4
"260310 CACHOEIRINHA";-;-;-;1;-;-;-;-;-;-;1
"260320 CAETES";4;2;-;-;-;-;-;-;-;-;6
"260330 CALCADO";1;1;-;1;-;-;-;-;-;-;3
"260340 CALUMBI";1;-;-;-;-;-;-;-;-;-;1
"260345 CAMARAGIBE";15;11;-;-;-;-;-;-;-;-;26
"260350 CAMOCIM DE SAO FELIX";3;-;-;1;-;-;-;-;-;-;4
"260360 CAMUTANGA";2;-;-;-;-;-;-;-;-;-;2
"260370 CANHOTINHO";4;4;-;1;-;-;-;-;-;-;9
"260380 CAPOEIRAS";2;3;-;-;-;-;-;-;-;-;5
"260390 CARNAIBA";4;8;1;-;-;-;-;-;-;-;13
"260392 CARNAUBEIRA DA PENHA";-;4;-;-;-;-;-;-;-;-;4
"260400 CARPINA";5;7;-;1;-;-;-;-;-;-;13
"260410 CARUARU";46;71;13;7;4;2;4;7;4;4;162
"260415 CASINHAS";1;1;-;-;-;-;-;-;-;-;2
"260420 CATENDE";2;3;-;-;-;-;-;-;-;-;5
"260430 CEDRO";1;3;-;-;-;1;-;-;-;-;5
"260440 CHA DE ALEGRIA";-;2;-;-;-;-;-;-;-;-;2
"260450 CHA GRANDE";-;1;-;-;-;-;-;-;-;-;1
"260460 CONDADO";7;-;-;-;-;-;-;-;-;-;7
"260470 CORRENTES";1;-;-;-;-;-;-;-;-;-;1
"260480 CORTES";2;-;-;-;-;-;-;-;-;-;2
"260490 CUMARU";1;1;-;-;-;-;-;-;-;-;2
"260500 CUPIRA";6;4;-;-;-;-;-;-;-;-;10
"260510 CUSTODIA";-;8;2;3;1;-;-;-;-;-;14
"260515 DORMENTES";-;1;-;-;-;-;-;-;-;-;1
"260520 ESCADA";8;3;-;-;-;-;1;-;-;-;12
"260530 EXU";8;6;-;-;-;-;-;-;-;-;14
"260540 FEIRA NOVA";3;4;-;1;-;-;-;-;-;-;8
"260545 FERNANDO DE NORONHA";-;1;-;-;-;-;-;-;-;-;1
"260550 FERREIROS";1;1;-;-;-;-;-;-;-;-;2
"260560 FLORES";2;1;-;-;-;-;-;-;-;-;3
"260570 FLORESTA";2;5;-;-;-;-;-;1;-;-;8
"260580 FREI MIGUELINHO";1;1;-;-;-;-;-;-;-;-;2
"260590 GAMELEIRA";1;1;-;-;-;-;-;1;-;-;3
"260600 GARANHUNS";28;36;3;4;3;12;7;2;3;1;99
"260610 GLORIA DO GOITA";2;1;-;-;-;-;-;-;-;-;3
"260620 GOIANA";24;13;5;-;1;-;-;-;1;-;44
"260630 GRANITO";1;-;-;-;-;-;-;-;-;-;1
"260640 GRAVATA";3;8;-;1;-;-;-;-;-;-;12
"260650 IATI";2;1;-;-;-;-;-;-;-;-;3
"260660 IBIMIRIM";2;2;-;-;-;-;-;-;-;-;4
"260670 IBIRAJUBA";2;1;-;-;-;-;-;-;-;-;3
"260680 IGARASSU";10;8;-;-;-;-;-;-;-;-;18
"260700 INAJA";-;1;-;-;-;-;-;-;-;-;1
"260710 INGAZEIRA";1;-;-;-;-;-;-;-;-;-;1
"260720 IPOJUCA";15;12;-;-;-;-;-;-;-;-;27
"260730 IPUBI";3;7;1;1;-;-;2;-;1;-;15
"260740 ITACURUBA";-;2;-;-;-;-;-;-;-;-;2
"260750 ITAIBA";1;7;1;-;-;-;-;-;-;-;9
"260760 ILHA DE ITAMARACA";1;-;-;1;-;-;-;-;-;-;2
"260765 ITAMBE";4;6;-;-;1;1;-;-;-;-;12
"260770 ITAPETIM";10;-;-;-;-;-;-;-;-;-;10
"260775 ITAPISSUMA";3;1;-;-;-;-;-;-;-;-;4
"260780 ITAQUITINGA";2;2;-;-;-;-;-;-;-;-;4
"260790 JABOATAO DOS GUARARAPES";60;56;4;3;5;2;-;-;-;-;130
"260795 JAQUEIRA";2;1;-;-;-;-;-;-;-;-;3
"260800 JATAUBA";3;-;-;-;-;-;-;-;-;-;3
"260805 JATOBA";-;1;-;-;-;-;-;-;-;-;1
"260810 JOAO ALFREDO";2;2;-;-;-;-;-;-;-;-;4
"260820 JOAQUIM NABUCO";1;1;-;-;-;-;-;-;-;-;2
"260825 JUCATI";3;3;-;-;-;-;-;-;-;-;6
"260830 JUPI";5;1;-;-;-;-;-;-;-;-;6
"260840 JUREMA";-;2;-;-;-;-;-;-;-;-;2
"260845 LAGOA DO CARRO";3;2;-;-;-;-;-;-;-;-;5
"260850 LAGOA DE ITAENGA";2;3;-;-;-;-;-;-;-;-;5
"260860 LAGOA DO OURO";2;6;-;-;-;-;-;-;-;-;8
"260870 LAGOA DOS GATOS";1;2;-;-;-;-;1;-;-;-;4
"260880 LAJEDO";9;2;2;-;-;-;-;-;-;-;13
"260890 LIMOEIRO";6;7;-;1;-;-;-;1;-;1;16
