TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Pernambuco
Casos confirmados por Município de notificação e Ano Diagnóstico
Período:2001-2024
"Município de notificação";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"260005 ABREU E LIMA";18;14;17;47;44;53;35;60;65;79;62;84;101;88;92;100;129;171;143;140;108;126;126;223;2125
"260010 AFOGADOS DA INGAZEIRA";11;7;4;4;4;7;9;8;5;4;5;8;5;6;3;6;4;4;9;10;6;7;21;16;173
"260020 AFRANIO";2;6;3;-;-;2;1;2;5;3;3;2;4;3;2;-;4;6;3;3;3;1;2;2;62
"260030 AGRESTINA";2;8;2;6;4;5;3;2;4;3;2;3;7;2;3;5;3;9;5;4;5;6;4;4;101
"260040 AGUA PRETA";13;16;8;18;6;6;12;9;10;8;17;18;10;14;8;7;11;10;8;13;11;13;14;15;275
"260050 AGUAS BELAS";-;-;-;1;5;2;9;6;8;4;7;6;9;3;3;9;6;9;2;7;3;4;7;6;116
"260060 ALAGOINHA";1;-;-;1;4;2;1;-;1;1;1;1;1;-;1;2;1;1;3;3;4;3;-;1;33
"260070 ALIANCA";6;13;14;15;18;16;15;9;21;11;10;16;8;13;17;14;28;10;15;7;7;23;15;21;342
"260080 ALTINHO";-;-;2;1;1;1;3;1;-;3;-;1;1;3;2;-;2;3;1;1;8;12;6;7;59
"260090 AMARAJI";10;4;4;7;7;9;4;7;2;4;11;5;8;7;2;2;3;5;5;6;5;8;9;6;140
"260100 ANGELIM";1;1;7;2;-;2;2;-;2;4;4;1;1;-;2;4;2;3;2;-;1;3;7;-;51
"260105 ARACOIABA";-;6;11;4;2;2;3;5;6;2;4;3;5;8;6;4;8;4;11;4;5;10;6;10;129
"260110 ARARIPINA";20;21;11;20;17;16;25;14;23;8;12;13;12;13;8;22;25;18;22;12;16;15;24;19;406
"260120 ARCOVERDE";52;34;49;45;32;43;31;39;22;16;28;37;40;45;48;58;53;50;52;42;60;45;74;88;1083
"260130 BARRA DE GUABIRABA";-;-;2;1;2;-;1;1;1;3;1;4;5;1;2;4;3;1;4;3;2;4;7;3;55
"260140 BARREIROS";46;35;38;29;25;27;25;15;28;20;39;24;28;25;19;18;21;14;28;22;28;21;27;35;637
"260150 BELEM DE MARIA";-;4;3;3;1;-;5;1;6;-;2;4;3;2;2;2;1;2;4;1;2;-;2;1;51
"260160 BELEM DO SAO FRANCISCO";4;9;-;7;4;5;9;2;3;5;11;5;1;7;3;7;4;5;8;3;4;4;3;3;116
"260170 BELO JARDIM";15;14;7;21;18;14;14;11;16;5;18;10;12;16;13;7;26;10;13;9;12;15;16;12;324
"260180 BETANIA";3;-;4;8;5;6;4;5;2;1;1;9;4;4;-;-;1;3;8;1;1;2;6;6;84
"260190 BEZERROS";9;10;5;8;7;12;17;13;13;9;10;17;12;12;19;14;18;27;15;13;18;22;15;26;341
"260200 BODOCO";43;13;31;17;23;14;6;10;9;8;5;6;5;7;10;7;6;-;4;3;10;8;6;6;257
"260210 BOM CONSELHO";13;6;5;5;5;8;12;8;8;5;11;13;13;5;10;8;8;6;5;9;4;2;7;9;185
"260220 BOM JARDIM";8;10;18;9;10;4;5;6;2;3;7;4;2;3;6;8;6;6;3;5;9;12;7;10;163
"260230 BONITO";18;16;16;23;5;9;11;12;13;8;15;8;10;6;12;6;9;7;9;15;16;17;21;20;302
"260240 BREJAO";-;2;-;-;2;1;-;2;-;-;2;1;2;2;1;-;1;2;2;3;3;6;2;2;36
"260250 BREJINHO";-;-;3;4;4;5;-;2;2;-;-;1;1;1;3;2;1;-;-;-;1;3;4;2;39
"260260 BREJO DA MADRE DE DEUS";3;4;13;8;9;8;14;11;5;6;9;9;10;11;12;9;8;4;7;13;14;13;10;24;234
"260270 BUENOS AIRES";3;11;1;1;3;4;4;1;5;3;7;7;1;3;3;4;1;6;3;2;3;7;4;3;90
"260280 BUIQUE";2;1;9;2;3;3;-;-;1;2;3;6;2;6;8;8;14;14;9;6;8;7;19;12;145
"260290 CABO DE SANTO AGOSTINHO";111;89;113;106;112;92;89;108;90;129;116;109;100;117;83;87;106;105;114;108;146;133;137;159;2659
"260300 CABROBO";9;11;10;10;12;1;6;11;6;5;9;9;6;19;15;7;14;18;9;7;8;12;8;9;231
"260310 CACHOEIRINHA";1;1;1;1;-;3;1;3;-;6;2;1;-;2;1;4;5;4;4;2;5;2;2;4;55
"260320 CAETES";3;-;-;-;-;-;1;2;1;2;-;4;1;1;3;1;4;5;5;1;-;1;1;1;37
"260330 CALCADO";4;-;-;-;-;-;-;2;-;1;1;-;-;1;1;2;2;2;1;1;1;1;1;4;25
"260340 CALUMBI";2;-;6;3;-;3;1;1;2;1;1;3;2;4;2;-;1;-;1;1;-;3;3;1;41
"260345 CAMARAGIBE";25;96;79;75;69;82;79;60;75;47;50;63;69;65;82;73;77;97;80;87;70;101;110;98;1809
"260350 CAMOCIM DE SAO FELIX";5;2;6;5;2;-;-;2;2;-;3;2;-;1;3;1;2;1;5;4;5;2;2;6;61
"260360 CAMUTANGA";4;2;2;6;3;2;2;5;2;3;5;1;3;3;3;3;2;2;3;9;-;3;-;1;69
"260370 CANHOTINHO";8;4;4;5;3;8;9;13;12;11;21;25;19;33;21;27;25;20;35;22;18;27;14;23;407
"260380 CAPOEIRAS";-;-;2;1;1;1;8;3;1;1;3;1;3;1;3;4;-;2;6;-;-;1;2;3;47
"260390 CARNAIBA";1;1;6;2;3;10;-;3;3;2;1;3;3;3;3;3;3;6;2;2;2;3;3;2;70
"260392 CARNAUBEIRA DA PENHA";-;1;3;4;-;-;2;-;1;-;-;-;-;-;1;-;2;1;3;2;-;2;1;-;23
"260400 CARPINA";39;37;25;34;33;33;39;33;33;33;24;24;32;24;22;25;32;42;26;29;25;32;28;38;742
"260410 CARUARU";151;131;133;149;143;127;109;93;88;115;109;168;137;183;206;193;266;257;260;206;279;279;288;276;4346
"260415 CASINHAS";1;3;3;3;1;4;3;2;3;2;2;4;1;1;1;-;2;5;3;3;1;-;3;1;52
"260420 CATENDE";5;4;15;15;14;15;13;14;14;7;9;9;12;10;9;11;12;7;13;11;17;16;17;12;281
"260430 CEDRO";2;4;3;-;-;2;1;5;3;3;1;1;-;2;1;-;1;-;1;2;1;1;1;2;37
"260440 CHA DE ALEGRIA";1;5;6;5;7;5;7;9;4;6;5;5;2;7;4;6;4;5;4;6;5;3;4;7;122
"260450 CHA GRANDE";1;3;6;2;1;2;4;1;1;4;2;7;2;13;15;6;7;6;7;7;5;8;7;3;120
"260460 CONDADO";-;5;12;15;11;7;7;9;12;9;10;7;6;4;9;9;9;6;7;10;9;10;5;9;197
"260470 CORRENTES";3;3;4;2;1;-;2;1;1;4;3;3;-;4;1;-;3;1;2;-;2;2;1;-;43
"260480 CORTES";3;6;7;6;1;3;4;2;2;1;1;2;1;10;9;1;12;4;5;1;5;5;2;3;96
"260490 CUMARU";-;-;1;-;1;1;2;3;-;-;3;-;1;1;1;-;2;1;2;3;4;5;4;7;42
"260500 CUPIRA";-;5;1;10;8;3;5;1;6;6;3;3;5;4;6;3;4;7;6;2;7;7;11;6;119
"260510 CUSTODIA";5;6;7;8;10;16;5;5;2;9;4;9;7;11;3;4;5;15;13;3;2;3;8;11;171
"260515 DORMENTES";-;-;-;-;3;-;3;3;2;4;3;2;3;2;2;1;1;-;1;1;1;1;1;4;38
"260520 ESCADA";25;34;26;20;23;14;20;31;14;17;25;21;19;28;27;22;36;17;23;22;22;26;25;33;570
"260530 EXU";7;5;10;3;5;4;2;4;4;8;8;7;6;3;6;-;2;3;3;3;5;1;4;11;114
"260540 FEIRA NOVA";-;4;2;6;7;-;12;15;13;1;5;4;2;3;4;3;7;8;5;5;8;8;13;7;142
"260545 FERNANDO DE NORONHA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;-;-;-;2;2;8
"260550 FERREIROS";-;-;-;-;6;6;6;5;3;2;3;4;3;1;4;3;6;3;4;3;7;6;4;5;84
"260560 FLORES";1;7;2;1;10;3;8;4;4;3;6;2;1;3;2;-;1;-;3;-;4;1;3;2;71
"260570 FLORESTA";4;5;2;8;4;5;12;6;9;5;10;11;4;11;7;5;2;4;6;3;6;6;9;9;153
"260580 FREI MIGUELINHO";5;3;11;3;10;5;1;4;-;2;1;3;-;3;2;1;5;2;2;2;-;3;4;1;73
"260590 GAMELEIRA";8;5;8;6;4;5;6;8;6;12;3;6;4;6;7;3;11;4;8;11;2;11;4;2;150
"260600 GARANHUNS";51;50;55;34;32;45;17;35;41;29;43;39;32;50;58;63;48;74;72;40;51;51;60;89;1159
"260610 GLORIA DO GOITA";-;-;1;6;1;4;7;2;4;1;4;1;3;5;2;2;8;4;1;6;12;9;5;3;91
"260620 GOIANA";21;26;15;14;26;31;30;33;42;29;27;33;26;27;34;33;56;44;42;31;33;45;42;59;799
"260630 GRANITO";3;-;2;4;1;2;2;1;-;4;1;1;-;1;1;1;1;1;2;-;-;1;1;2;32
"260640 GRAVATA";11;15;9;18;14;16;45;20;22;10;25;17;18;14;21;22;36;21;31;26;27;41;45;34;558
"260650 IATI";-;3;5;8;5;7;3;6;3;2;-;2;1;1;2;1;1;1;-;1;2;4;4;1;63
"260660 IBIMIRIM";3;2;2;3;6;2;7;-;3;1;1;3;6;5;2;5;2;5;6;6;9;6;6;6;97
"260670 IBIRAJUBA";-;1;-;4;-;2;-;-;1;1;-;1;-;2;1;-;-;-;-;-;1;-;-;-;14
"260680 IGARASSU";66;53;50;41;43;27;47;49;42;43;47;33;42;38;25;51;48;49;40;53;49;64;76;63;1139
"260690 IGUARACY";3;2;2;3;1;-;-;-;1;-;1;2;1;-;-;1;1;1;3;-;2;3;2;1;30
"260700 INAJA";1;-;2;-;1;1;2;3;2;2;-;1;1;2;-;1;2;2;2;-;1;-;4;3;33
"260710 INGAZEIRA";-;-;1;-;-;4;2;-;1;-;-;-;1;-;-;2;1;-;-;2;1;1;-;-;16
"260720 IPOJUCA";25;20;11;8;20;34;24;23;15;32;23;36;20;36;39;23;36;54;49;33;44;68;65;67;805
"260730 IPUBI";4;9;9;7;8;8;4;7;6;7;1;3;9;7;4;1;9;5;4;1;2;4;11;2;132
"260740 ITACURUBA";-;2;1;-;1;4;-;4;1;-;2;2;3;2;5;-;3;-;-;1;2;1;2;2;38
"260750 ITAIBA";-;-;-;-;1;-;1;2;3;-;1;3;1;1;3;1;2;3;2;4;4;6;3;4;45
"260760 ILHA DE ITAMARACA";17;42;41;46;57;68;50;39;46;100;157;123;126;140;149;143;165;147;165;138;149;174;164;52;2498
"260765 ITAMBE";17;8;14;10;14;10;7;6;6;9;7;10;3;3;4;7;5;5;5;8;14;15;6;12;205
"260770 ITAPETIM";-;-;2;3;2;2;1;2;-;3;1;8;6;6;1;4;4;4;1;-;3;2;3;3;61
"260775 ITAPISSUMA";-;-;18;21;24;19;27;29;27;68;64;85;59;83;161;100;141;107;132;104;110;138;225;263;2005
"260780 ITAQUITINGA";1;12;2;13;5;5;3;5;7;3;3;3;3;1;1;4;8;20;14;23;20;33;29;46;264
"260790 JABOATAO DOS GUARARAPES";241;298;270;298;287;346;305;337;328;335;367;376;297;331;411;389;315;360;373;388;363;387;442;398;8242
"260795 JAQUEIRA";2;1;6;5;2;3;2;5;1;2;4;2;5;4;4;-;2;1;3;1;1;-;3;1;60
"260800 JATAUBA";-;3;1;1;1;-;2;7;3;3;2;3;5;1;2;1;3;4;1;3;-;2;1;4;53
"260805 JATOBA";6;6;1;5;3;2;5;4;1;3;1;3;3;3;3;2;6;7;4;8;3;4;5;4;92
"260810 JOAO ALFREDO";2;4;7;5;8;7;7;4;5;7;10;3;2;4;2;2;3;7;9;7;6;3;6;2;122
"260820 JOAQUIM NABUCO";1;5;7;3;2;3;4;4;2;1;6;9;5;8;6;5;7;9;1;-;1;1;1;5;96
"260825 JUCATI";1;2;3;3;-;-;1;5;4;-;-;1;2;2;2;-;3;-;1;1;1;1;1;3;37
"260830 JUPI";-;-;3;6;-;2;3;2;1;1;1;1;2;-;-;3;2;3;3;4;4;2;1;4;48
"260840 JUREMA";-;1;1;-;-;1;2;1;1;4;-;-;-;1;1;-;1;2;2;2;2;3;2;4;31
"260845 LAGOA DO CARRO";7;6;4;6;4;3;5;3;5;7;10;1;2;5;6;6;4;5;7;8;9;13;3;5;134
