municipio,intensidade
Abreu E Lima,4750.0
Afogados Da Ingazeira,41900.0
Afranio,9650.0
Agrestina,4490.0
Agua Preta,1650.0
Aguas Belas,11760.0
Alagoinha,10550.0
Alianca,6630.0
Altinho,8770.0
Amaraji,6310.0
Angelim,1480.0
Aracoiaba,24390.0
Araripina,3980.0
Arcoverde,24870.0
Barra De Guabiraba,5760.0
Barreiros,10090.0
Belem De Maria,390.0
Belem Do Sao Francisco,4960.0
Belo Jardim,56720.0
Betania,1000.0
Bezerros,12000.0
Bodoco,1580.0
Bom Conselho,11620.0
Bom Jardim,11580.0
Bonito,4920.0
Brejao,3450.0
Brejinho,1560.0
Brejo Da Madre De Deus,13590.0
Buenos Aires,3260.0
Buique,29660.0
Cabo De Santo Agostinho,150240.0
Cabrobo,8000.0
Cachoeirinha,920.0
Caetes,13370.0
Calcado,1950.0
Calumbi,370.0
Camaragibe,74540.0
Camocim De Sao Felix,1940.0
Camutanga,2160.0
Canhotinho,1490.0
Capoeiras,910.0
Carnaiba,8460.0
Carnaubeira Da Penha,1370.0
Carpina,40170.0
Caruaru,36340.0
Casinhas,7830.0
Catende,690.0
Cedro,7200.0
Cha De Alegria,2440.0
Cha Grande,9950.0
Condado,13490.0
Correntes,2670.0
Cortes,1010.0
Cumaru,3050.0
Cupira,3210.0
Custodia,7790.0
Dormentes,7760.0
Escada,14680.0
Exu,4090.0
Feira Nova,2830.0
Fernando De Noronha,10100.0
Ferreiros,860.0
Flores,1680.0
Floresta,2090.0
Frei Miguelinho,3970.0
Gameleira,11490.0
Garanhuns,99080.0
Gloria Do Goita,680.0
Goiana,104880.0
Granito,3780.0
Gravata,30610.0
Iati,16710.0
Ibimirim,2320.0
Ibirajuba,500.0
Igarassu,85840.0
Iguaracy,2250.0
Inaja,4970.0
Ingazeira,2280.0
Ipojuca,17710.0
Ipubi,2750.0
Itacuruba,2080.0
Itaiba,8740.0
Ilha De Itamaraca,9540.0
Itambe,12290.0
Itapetim,7610.0
Itapissuma,550.0
Itaquitinga,6060.0
Jaboatao Dos Guararapes,322900.0
Jaqueira,5350.0
Jatauba,27250.0
Jatoba,1560.0
Joao Alfredo,26580.0
Joaquim Nabuco,600.0
Jucati,1060.0
Jupi,1280.0
Jurema,2350.0
Lagoa Do Carro,12990.0
Lagoa De Itaenga,3280.0
Lagoa Do Ouro,6030.0
Lagoa Dos Gatos,1990.0
Lagoa Grande,4800.0
Lajedo,9210.0
Limoeiro,62110.0
Macaparana,7300.0
Machados,12280.0
Manari,2510.0
Maraial,390.0
Mirandiba,3900.0
Moreno,25010.0
Nazare Da Mata,18350.0
Olinda,79910.0
Orobo,7280.0
Oroco,1840.0
Ouricuri,2970.0
Palmares,18490.0
Palmeirina,1580.0
Panelas,6140.0
Paranatama,2110.0
Parnamirim,4650.0
Passira,16170.0
Paudalho,16830.0
Paulista,109950.0
Pedra,11070.0
Pesqueira,35980.0
Petrolandia,4500.0
Petrolina,77400.0
Pocao,21210.0
Pombos,5640.0
Primavera,1990.0
Quipapa,10640.0
Quixaba,1450.0
Recife,948250.0
Riacho Das Almas,2960.0
Ribeirao,3220.0
Rio Formoso,12530.0
Saire,2880.0
Salgadinho,1660.0
Salgueiro,79800.0
Saloa,800.0
Sanharo,13670.0
Santa Cruz,1080.0
Santa Cruz Da Baixa Verde,6000.0
Santa Cruz Do Capibaribe,14320.0
Santa Filomena,2330.0
Santa Maria Da Boa Vista,1940.0
Santa Maria Do Cambuca,1540.0
Santa Terezinha,5560.0
Sao Benedito Do Sul,930.0
Sao Bento Do Una,12010.0
Sao Caitano,3130.0
Sao Joao,7820.0
Sao Joaquim Do Monte,2200.0
Sao Jose Da Coroa Grande,3470.0
Sao Jose Do Belmonte,6310.0
Sao Jose Do Egito,12760.0
Sao Lourenco Da Mata,36600.0
Sao Vicente Ferrer,6030.0
Serra Talhada,23430.0
Serrita,4650.0
Sertania,13980.0
Sirinhaem,7590.0
Moreilandia,1320.0
Solidao,2980.0
Surubim,31550.0
Tabira,8390.0
Tacaimbo,810.0
Tacaratu,8100.0
Tamandare,2990.0
Taquaritinga Do Norte,9050.0
Terezinha,3120.0
Terra Nova,5970.0
Timbauba,18480.0
Toritama,5190.0
Tracunhaem,14180.0
Trindade,1570.0
Triunfo,3060.0
Tupanatinga,6510.0
Tuparetama,1490.0
Venturosa,6100.0
Verdejante,5110.0
Vertente Do Lerio,3260.0
Vertentes,26040.0
Vicencia,6830.0
Vitoria De Santo Antao,62910.0
Xexeu,1680.0
Fonte: Ministério Da Saúde/Svsa - Sistema De Informação De Agravos De Notificação - Sinan Net,0.0
Notas:,0.0
"Para Os Casos Prováveis Foram Incluídas Todas Notificações, Exceto Casos Descartados.",0.0
"As Bases De Dados De Dengue Aqui Disponíveis Compõem Um Banco Único A Partir De 2014, Podendo Haver Pequenas Divergências Com Os Dados Disponibilizados Pelo Cgarb",0.0
"(Coordenação Geral De Vigilância De Arboviroses - Cgarb) Em Sua Série Histórica, Que Para Tal, Realiza Análise Ano A Ano, Com A Base Congelada Para Cada Ano Analisado.",0.0
"Para Tabular Os Casos Graves (Classificação Final Igual A Dengue Com Complicações, Febre Hemorrágica Da Dengue, Síndrome Do Choque Da Dengue, Dengue Com Sinais De",0.0
Alarme E Dengue Grave) É Necessário Considerar Também O Critério De Confirmação (Laboratorial E Clínico-Epidemiológico).,0.0
"A Partir De 2020 O Estado Do Espírito Santo Passou A Utilizar O Sistema E-Sus Vigilância Em Saúde. Portanto, Para Os Casos De Arboviroses Urbanas Do Espírito Santo",0.0
Foram Considerados Apenas Os Dados Disponibilizados Pelo Sinan Online (Dengue E Chikungunya) E Sinan Net (Zika).,0.0
"Períodos Disponíveis Ou Período - Correspondem Aos Anos De Notificação Dos Casos E Semana Epidemiológica, Em Cada Período Pode Apresentar Notificações Com Data De",0.0
Notificação Do Ano Anterior (Semana Epidemiológica 52 Ou 53) E Posterior (Semana Epidemiológica 01).,0.0
Para Cálculo Da Incidência Recomenda-Se Utilizar Locais De Residência.,0.0
Dados De 2014 Atualizados Em 13/07/2015.,0.0
Dados De 2015 Atualizados Em 27/09/2016.,0.0
Dados De 2016 Atualizados Em 06/07/2017.,0.0
Dados De 2017 Atualizados Em 18/07/2018.,0.0
Dados De 2018 Atualizados Em 01/10/2019.,0.0
Dados De 2019 Atualizados Em 10/07/2020.,0.0
"Dados De 2020 Atualizados Em 28/07/2021, Corrigidos Em 18/11/2025 Em Relação À Variável Semana Epidemiológica Da Notificação.",0.0
Dados De 2021 Atualizados Em 12/07/2022.,0.0
"Dados De 2022 Atualizados Em 18/07/2023 Às 03:00 Horas, Incluídos Os Dados Do Es Em 09/08/2023.",0.0
"Dados De 2023 Atualizados Em 04/06/2024 Às 11:30 Horas, Incluídos Os Dados Do Es Em 04/06/2024.",0.0
"Dados De 2024 Atualizados Em 28/07/2025 Às 03:00 Horas, Incluídos Os Dados Do Es Em 28/07/2025 Às 12:00 Horas.",0.0
"Dados De 2025 Atualizados Em 02/03/2026 Às 18:00 Horas, Sujeitos À Revisão E Incluídos Os Dados Do Es Em 02/03/2026.",0.0
